stop_id,makat,route_short_name,route_long_name,agency_name,stop_name,city_name
49423,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,הדסה עין כרם,ירושלים
49447,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,בית הספר לרפואה,ירושלים
49434,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,צומת אורה,ירושלים
49468,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,קריית מנחם,ירושלים
49448,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,הנרייטה סאלד - מזרח,ירושלים
49429,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,גן המפלצת,ירושלים
49442,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,קריית היובל - מערב,ירושלים
49459,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,שמריהו לוין,ירושלים
35161,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,הר הרצל,ירושלים
35159,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,יפה נוף,ירושלים
35157,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,כיכר דניה,ירושלים
35163,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,החלוץ,ירושלים
35155,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,קריית משה,ירושלים
35154,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,התחנה המרכזית,ירושלים
35152,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,הטורים,ירושלים
35150,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,מחנה יהודה,ירושלים
35147,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,הדווידקה,ירושלים
35146,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,יפו - מרכז,ירושלים
35143,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,העירייה,ירושלים
35142,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,שער שכם,ירושלים
35140,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,שבטי ישראל,ירושלים
35137,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,שמעון הצדיק,ירושלים
35136,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,גבעת התחמושת,ירושלים
35134,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,גבעת המבתר,ירושלים
35131,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,א-סהל,ירושלים
35130,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,שועפאט,ירושלים
35128,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,בית חנינא,ירושלים
35125,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,יקותיאל אדם,ירושלים
35124,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,פסגת זאב - מרכז,ירושלים
35121,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,סיירת דוכיפת,ירושלים
35120,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,חיל האוויר,ירושלים
49450,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,משה דיין - צפון,ירושלים
49430,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,מזל קשת,ירושלים
49428,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,יצחק טבנקין,ירושלים
49469,73001,1,הדסה עין כרם-ירושלים --> נווה יעקב - צפון-ירושלים,כפיר,נווה יעקב - צפון,ירושלים
49433,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,נווה יעקב - צפון,ירושלים
49453,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,יצחק טבנקין,ירושלים
49444,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,מזל קשת,ירושלים
49432,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,משה דיין - צפון,ירושלים
35119,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,חיל האוויר,ירושלים
35122,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,סיירת דוכיפת,ירושלים
35123,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,פסגת זאב - מרכז,ירושלים
35126,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,יקותיאל אדם,ירושלים
35127,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,בית חנינא,ירושלים
35129,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,שועפאט,ירושלים
35132,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,א-סהל,ירושלים
35133,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,גבעת המבתר,ירושלים
35133,73001,1,גבעת המבתר-ירושלים --> הדסה עין כרם-ירושלים,כפיר,גבעת המבתר,ירושלים
35135,73001,1,נווה יעקב - צפון-ירושלים --> הדסה עין כרם-ירושלים,כפיר,גבעת התחמושת,ירושלים
