city_name,makat,route_short_name,route_long_name,agency_name
יגור,10077,77,מסוף יגור-יגור --> גרנד קניון/שמחה גולן-חיפה,אגד
נשר,10077,77,מסוף יגור-יגור --> גרנד קניון/שמחה גולן-חיפה,אגד
חיפה,10077,77,מסוף יגור-יגור --> גרנד קניון/שמחה גולן-חיפה,אגד
חיפה,10208,208,רכבל/העלייה השנייה-חיפה --> חלוצי התעשייה/הגומא-חיפה,אגד
נשר,10208,208,רכבל/העלייה השנייה-חיפה --> חלוצי התעשייה/הגומא-חיפה,אגד
ירושלים,10267,267,שדרות שז''ר/בנייני האומה-ירושלים --> סובת התאנה-אפרת,אלקטרה אפיקים תחבורה
גוש עציון,10267,267,שדרות שז''ר/בנייני האומה-ירושלים --> סובת התאנה-אפרת,אלקטרה אפיקים תחבורה
אפרת,10267,267,שדרות שז''ר/בנייני האומה-ירושלים --> סובת התאנה-אפרת,אלקטרה אפיקים תחבורה
חיפה,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
נשר,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
זבולון,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
קרית טבעון,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
עמק יזרעאל,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
רמת ישי,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
מנשית זבדה,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
יפיע,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
נצרת,12333,333,אוניברסיטה/רב תכליתי-חיפה --> אל-ח'אנוק-נצרת,גי.בי.טורס
ירושלים,15026,26א,אקווריום ישראל-ירושלים --> אקווריום ישראל-ירושלים,אגד
בני ברק,35002,2,אזור התעשייה-בני ברק --> אהרונוביץ/השלושה-בני ברק,דן
חולון,17034,34,משרד הרישוי/הלוחמים-חולון --> רכבת קריית אריה/חנה וסע-פתח תקווה,דן
תל אביב יפו,17034,34,משרד הרישוי/הלוחמים-חולון --> רכבת קריית אריה/חנה וסע-פתח תקווה,דן
רמת גן,17034,34,משרד הרישוי/הלוחמים-חולון --> רכבת קריית אריה/חנה וסע-פתח תקווה,דן
גבעתיים,17034,34,משרד הרישוי/הלוחמים-חולון --> רכבת קריית אריה/חנה וסע-פתח תקווה,דן
בני ברק,17034,34,משרד הרישוי/הלוחמים-חולון --> רכבת קריית אריה/חנה וסע-פתח תקווה,דן
פתח תקווה,17034,34,משרד הרישוי/הלוחמים-חולון --> רכבת קריית אריה/חנה וסע-פתח תקווה,דן
תל אביב יפו,13039,39,מסוף רדינג/רציפים-תל אביב יפו --> מסוף עמידר-רמת גן,דן
גבעתיים,13039,39,מסוף רדינג/רציפים-תל אביב יפו --> מסוף עמידר-רמת גן,דן
רמת גן,13039,39,מסוף רדינג/רציפים-תל אביב יפו --> מסוף עמידר-רמת גן,דן
תל אביב יפו,20036,36,מסוף רדינג/רציפים-תל אביב יפו --> מסוף אור יהודה/הורדה-אור יהודה,מטרופולין
רמת גן,20036,36,מסוף רדינג/רציפים-תל אביב יפו --> מסוף אור יהודה/הורדה-אור יהודה,מטרופולין
אור יהודה,20036,36,מסוף רדינג/רציפים-תל אביב יפו --> מסוף אור יהודה/הורדה-אור יהודה,מטרופולין
פתח תקווה,22062,62,בן ציון גליס/צבי ברגמן-פתח תקווה --> ת. רק''ל בלינסון/קניון אבנת-פתח תקווה,אלקטרה אפיקים
אום אל פחם,58004,4,מסוף אום אל פחם-אום אל פחם --> מסוף אום אל פחם-אום אל פחם,קווים
ירושלים,10110,110,תחנה תפעולית חניון 4/9-ירושלים --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
מטה בנימין,10110,110,תחנה תפעולית חניון 4/9-ירושלים --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
גבעת זאב,10110,110,תחנה תפעולית חניון 4/9-ירושלים --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
חבל מודיעין,10110,110,תחנה תפעולית חניון 4/9-ירושלים --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
מודיעין מכבים רעות,10110,110,תחנה תפעולית חניון 4/9-ירושלים --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
מודיעין מכבים רעות,12111,111,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות --> ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו,קווים
חבל מודיעין,12111,111,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות --> ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו,קווים
תל אביב יפו,12111,111,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות --> ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו,קווים
מודיעין מכבים רעות,12150,150,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות --> ת. מרכזית רמלה/הורדה-רמלה,קווים
חבל מודיעין,12150,150,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות --> ת. מרכזית רמלה/הורדה-רמלה,קווים
לוד,12150,150,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות --> ת. מרכזית רמלה/הורדה-רמלה,קווים
רמלה,12150,150,ת. מרכזית מודיעין מכבים רעות-מודיעין מכבים רעות --> ת. מרכזית רמלה/הורדה-רמלה,קווים
רמלה,12150,150,ת. מרכזית רמלה-רמלה --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
לוד,12150,150,ת. מרכזית רמלה-רמלה --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
חבל מודיעין,12150,150,ת. מרכזית רמלה-רמלה --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
מודיעין מכבים רעות,12150,150,ת. מרכזית רמלה-רמלה --> שדרות החשמונאים/לב העיר-מודיעין מכבים רעות,קווים
מודיעין מכבים רעות,14222,222,מבוא רעות/שד. האורנים-מודיעין מכבים רעות --> מסוף רדינג/הורדה-תל אביב יפו,קווים
חבל מודיעין,14222,222,מבוא רעות/שד. האורנים-מודיעין מכבים רעות --> מסוף רדינג/הורדה-תל אביב יפו,קווים
תל אביב יפו,14222,222,מבוא רעות/שד. האורנים-מודיעין מכבים רעות --> מסוף רדינג/הורדה-תל אביב יפו,קווים
תל אביב יפו,14222,222,מסוף רדינג/רציפים-תל אביב יפו --> מבוא רעות/שד. האורנים-מודיעין מכבים רעות,קווים
חבל מודיעין,14222,222,מסוף רדינג/רציפים-תל אביב יפו --> מבוא רעות/שד. האורנים-מודיעין מכבים רעות,קווים
מודיעין מכבים רעות,14222,222,מסוף רדינג/רציפים-תל אביב יפו --> מבוא רעות/שד. האורנים-מודיעין מכבים רעות,קווים
בני ברק,10292,292,קניון איילון-בני ברק --> דרך מנחם בגין/קופת חולים-פתח תקווה,דן
רמת גן,10292,292,קניון איילון-בני ברק --> דרך מנחם בגין/קופת חולים-פתח תקווה,דן
קרית אונו,10292,292,קניון איילון-בני ברק --> דרך מנחם בגין/קופת חולים-פתח תקווה,דן
פתח תקווה,10292,292,קניון איילון-בני ברק --> דרך מנחם בגין/קופת חולים-פתח תקווה,דן
תל אביב יפו,10605,605,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו --> ת. מרכזית נתניה-נתניה,מטרופולין
רמת השרון,10605,605,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו --> ת. מרכזית נתניה-נתניה,מטרופולין
הרצליה,10605,605,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו --> ת. מרכזית נתניה-נתניה,מטרופולין
אודים,10605,605,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו --> ת. מרכזית נתניה-נתניה,מטרופולין
נתניה,10605,605,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו --> ת. מרכזית נתניה-נתניה,מטרופולין
חיפה,10018,18,הרב מימון/גילבוע-חיפה --> ת. רכבת בת גלים-חיפה,אגד
חיפה,10019,19א,טכניון/מעונות העמים-חיפה --> רכבל/העלייה השנייה-חיפה,אגד
חיפה,10115,115,ת. מרכזית המפרץ/רציפים עירוני-חיפה --> ת. מרכזית חוף הכרמל/הורדה-חיפה,אגד
חיפה,10123,123,דרך הדשנים/צומת קרית אתא-חיפה --> ת. מרכזית חוף הכרמל/הורדה-חיפה,אגד
בני ברק,10240,240,קניון איילון-בני ברק --> מסוף בית העלמין/הורדה-בת ים,דן
רמת גן,10240,240,קניון איילון-בני ברק --> מסוף בית העלמין/הורדה-בת ים,דן
תל אביב יפו,10240,240,קניון איילון-בני ברק --> מסוף בית העלמין/הורדה-בת ים,דן
בת ים,10240,240,קניון איילון-בני ברק --> מסוף בית העלמין/הורדה-בת ים,דן
חולון,21007,7,בי''ח וולפסון-חולון --> יהודה המכבי/דרך נמיר-תל אביב יפו,דן
תל אביב יפו,21007,7,בי''ח וולפסון-חולון --> יהודה המכבי/דרך נמיר-תל אביב יפו,דן
בני ברק,35002,2,אהרונוביץ/השלושה-בני ברק --> אזור התעשייה-בני ברק,דן
סח'נין,11365,365,סחנין יציאה מערבית-סח'נין --> ת. מרכזית צפת/הורדה-צפת,נסיעות ותיירות
עראבה,11365,365,סחנין יציאה מערבית-סח'נין --> ת. מרכזית צפת/הורדה-צפת,נסיעות ותיירות
