city_name,stop_name,stop_id,stop_code
כפר סבא,בי''ס בר לב/בן יהודה,1,38831
קרית עקרון,הרצל/צומת בילו,2,38832
ראשון לציון,מרכז ראשונים/הנחשול,3,38833
רחובות,משה פריד/יצחק משקה,4,38834
לוד,ת. מרכזית לוד/הורדה,6,38836
רחובות,חנה אברך/וולקני,7,38837
קרית עקרון,הרצל/משה שרת,8,38838
קרית עקרון,הבנים/אלי כהן,9,38839
קרית עקרון,ויצמן/הבנים,10,38840
קרית עקרון,האירוס/הכלנית,11,38841
קרית עקרון,הכלנית/הנרקיס,12,38842
קרית עקרון,אלי כהן/לוחמי הגטאות,14,38844
קרית עקרון,שבזי/שבת אחים,15,38845
קרית עקרון,שבזי/ויצמן,16,38846
ראשון לציון,חיים ברלב/שדרות יצחק רבין,17,38847
צור משה,מרכז לבריאות הנפש לב השרון,18,38848
צור משה,מרכז לבריאות הנפש לב השרון,19,38849
מזכרת בתיה,אנדרטה לנופלים/עמנואל הלזנר,21,38851
רחובות,הולצמן/המדע,22,38852
ראשון לציון,מחנה צריפין/מועדון,24,38854
קרית עקרון,הרצל/גולני,25,38855
רחובות,הרותם/הדגניות,26,38856
צור משה,הערבה,29,38859
ינוב,מבוא הגפן/מורד התאנה,30,38860
ינוב,מבוא הגפן/ההרחבה,31,38861
גאולים,ההרחבה א,32,38862
גאולים,ההרחבה ב,33,38863
גאולים,ההרחבה/הותיקים,34,38864
נמל תעופה בן גוריון,רשות שדות התעופה/העליה,35,38865
נמל תעופה בן גוריון,כנף/ברוש,36,38866
רחובות,החבורה/דב הוז,37,38867
בית הלוי,בית הלוי ה,39,38869
כפר חיים,הראשונים/כביש 5700,40,38870
רחובות,הגאון בן איש חי/צאלון,42,38872
רחובות,עוקשי/לוי אשכול,43,38873
רחובות,מנוחה ונחלה/יעקב,45,38875
רחובות,גורודסקי/יחיאל פלדי,46,38876
נתניה,דרך הפארק/הרב נריה,48,38878
יציץ,התאנה/הגפן,49,38879
יציץ,התאנה/האלון,50,38880
גדרה,דרך הפרחים/יסמין,51,38881
גדרה,אולפנא הרב בהרן/פינס,52,38882
גדרה,יצחק רבין/פנחס ספיר,53,38883
גדרה,מנחם בגין/יצחק רבין,54,38884
גדרה,חיים הרצוג/שדרות מנחם בגין,55,38885
גדרה,בית ספר גוונים/ארז,56,38886
גדרה,דרך האילנות/אלון,57,38887
גדרה,דרך האילנות/מנחם בגין,58,38888
גדרה,העצמאות/וייצמן,59,38889
גדרה,וייצמן/מרבד הקסמים,60,38890
