stop_id,stop_name,stop_name_intended,route_long_name,route_short_name,agency_name,city_name,makat
37338,לוד,ראשונים,לוד-לוד --> ראשונים-ראשון לציון,ראשונים,רכבת ישראל,לוד,
37298,ראשונים,לוד,לוד-לוד --> ראשונים-ראשון לציון,ראשונים,רכבת ישראל,ראשון לציון,
37358,תל אביב מרכז,השלום,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37358,תל אביב מרכז,תל אביב ההגנה,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37358,תל אביב מרכז,לוד גני אביב,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37358,תל אביב מרכז,לוד,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37358,תל אביב מרכז,רמלה,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37358,תל אביב מרכז,בית שמש,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37350,השלום,תל אביב מרכז,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37350,השלום,תל אביב ההגנה,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37350,השלום,לוד גני אביב,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37350,השלום,לוד,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37350,השלום,רמלה,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
37350,השלום,בית שמש,תל אביב מרכז-תל אביב יפו --> בית שמש-בית שמש,בית שמש,רכבת ישראל,תל אביב יפו,
